1,10,4154,F042021T259R0001,,,
2,11,2636,F042021T263R0001,,,
3,1,2524,,,,
4,29,5389,,,,
5,30,4154,F042022T274R0001,,,
7,19,4154,F042022T280R0001,,,
8,20,1525,F042022T281R0001,,,
9,37,2636,,,,
10,38,5188,,,,
14,12,3474,,,,
15,12,5117,,,,
16,13,5489,F042021T258R0001,,,
17,14,934,F042021T261R0001,,,
18,2,2684,F042022T266R0001,,,
19,3,3877,F042022T268R0001,,,
20,31,4241,F042022T275R0001,,,
21,32,3877,F042022T276R0001,,,
22,21,3474,F042022T284R0002,,,
23,21,5117,F042022T284R0002,,,
24,22,979,F042022T285R0001,,,
25,23,934,F042022T289R0001,,,
26,40,5220,,,,
27,41,5489,,,,
28,4,3339,F042022T270R0001,,,
30,5,3339,F042022S271R0012,,,
31,33,3339,F042022T273R0001,,,
32,42,3339,,,,
33,15,3339,F042021S262R0003,,,
34,15,3514,F042021S262R0003,,,
35,16,3339,F042021S264R0002,,,
36,6,3339,F042022S267R0006,,,
37,34,3339,F042022S277R0002,,,
38,24,3339,F042022S286R0003,,,
39,24,3514,F042022S286R0003,,,
40,25,3339,F042022S287R0001,,,
47,17,2788,F042021T260R0001,,,
49,18,2324,F042021T265R0001,,,
50,7,2788,,,,
51,8,548,F042022T269R0002,,,
52,8,2324,F042022T269R0002,,,
54,9,2324,F042021T272R0001,,,
55,35,3710,F042022T279R0001,,,
56,36,4883,F042022T279R0001,,,
57,26,548,F042022T282R0003,,,
58,26,2324,F042022T282R0003,,,
59,26,4054,F042022T282R0003,,,
60,27,2684,F042022T283R0001,,,
61,28,2324,F042022C288R0001,,,
