1,498,4499,,,,
2,499,1731,,,,
4,27,501,,,,
5,27,4789,,,,
6,132,3988,,,,
7,132,4789,,,,
8,17,348,,,,
9,17,1922,,,,
10,17,3709,,,,
11,18,2856,,,,
12,19,3406,,,,
13,1,2111,,,,
14,2,2038,,,,
15,2,3406,,,,
16,3,4826,,,,
17,4,2393,,,,
18,4,3886,,,,
19,28,430,,,,
20,28,2393,,,,
21,57,2237,,,,
22,57,3988,,,,
23,84,2237,,,,
24,84,3988,,,,
25,113,2237,,,,
26,113,3988,,,,
27,5,1550,,,,
28,5,2393,,,,
29,29,1550,,,,
30,29,2393,,,,
31,58,1550,,,,
32,58,2393,,,,
33,46,2038,,,,
34,47,1230,,,,
35,48,2894,,,,
36,48,3709,,,,
37,30,438,,,,
38,31,905,,,,
39,114,905,,,,
40,32,1962,,,,
41,32,3868,,,,
42,74,1342,,,,
43,74,3988,,,,
44,75,2237,,,,
45,75,2666,,,,
46,59,348,,,,
47,59,519,,,,
48,59,3709,,,,
49,60,2666,,,,
50,60,4789,,,,
51,61,2098,,,,
52,62,516,,,,
53,102,2398,,,,
54,102,4514,,,,
55,103,3988,,,,
56,85,2666,,,,
57,85,3988,,,,
58,86,1920,,,,
59,86,5032,,,,
60,87,3520,,,,
61,87,5355,,,,
62,88,3492,,,,
63,88,4858,,,,
64,88,5279,,,,
65,133,173,,,,
66,134,1962,,,,
67,135,1342,,,,
68,115,510,,,,
69,115,3002,,,,
70,115,4324,,,,
71,116,2856,,,,
72,500,4499,,,,
73,117,2666,,,,
74,174,4036,,,,
75,175,1449,,,,
76,176,1230,,,,
77,176,3151,,,,
78,152,1449,,,,
79,153,348,,,,
80,153,4674,,,,
81,154,2545,,,,
82,154,2691,,,,
83,155,4036,,,,
84,212,348,,,,
85,212,1384,,,,
86,213,510,,,,
87,213,3002,,,,
88,213,4324,,,,
89,214,2484,,,,
90,191,2484,,,,
91,192,1384,,,,
92,192,4898,,,,
93,193,1384,,,,
94,194,2545,,,,
95,194,2691,,,,
99,249,4861,,,,
100,250,4858,,,,
101,250,5279,,,,
102,251,1449,,,,
103,230,1594,,,,
104,230,2136,,,,
105,230,2545,,,,
106,231,1594,,,,
107,232,2484,,,,
108,286,2136,,,,
109,287,2545,,,,
110,287,4036,,,,
111,288,4861,,,,
113,289,1230,,,,
114,289,3151,,,,
115,268,1449,,,,
116,269,3002,,,,
117,269,4324,,,,
118,270,1441,,,,
119,326,3942,,,,
120,327,24,,,,
121,328,5253,,,,
122,309,2545,,,,
123,309,5253,,,,
124,310,1190,,,,
125,311,214,,,,
126,352,2545,,,,
127,353,2910,,,,
128,353,4359,,,,
129,354,4036,,,,
130,338,1449,,,,
132,339,214,,,,
133,339,322,,,,
134,340,1474,,,,
135,392,5253,,,,
136,393,3942,,,,
137,394,2545,,,,
138,394,3778,,,,
139,395,2366,,,,
140,395,4671,,,,
141,375,1190,,,,
142,376,3801,,,,
143,377,3796,,,,
144,415,2545,,,,
145,415,5253,,,,
146,416,5056,,,,
147,403,5201,,,,
148,404,5253,,,,
149,405,2545,,,,
151,446,1474,,,,
152,447,3796,,,,
153,447,3796,,,,
154,448,2910,,,,
155,431,1474,,,,
156,432,2910,,,,
158,433,5253,,,,
159,463,3626,,,,
160,464,2545,,,,
161,465,1384,,,,
162,466,2545,,,,
163,467,1449,,,,
164,495,2545,,,,
165,486,2545,,,,
166,487,3002,,,,
167,501,4036,,,,
168,502,2545,,,,
169,449,764,,,,
170,449,905,,,,
171,450,5032,,,,
172,450,5034,,,,
173,451,2708,,,,
174,451,2911,,,,
176,452,920,,,,
177,452,2237,,,,
178,468,877,,,,
179,468,2237,,,,
