Audotorio Sotero Prieto#200
CCADET Sala de Seminarios#0
CDD Sala de Cómputo#16
CDD Sala de Cómputo y herramientas en línea#30
CDD Sala de juntas#10
CDD Sala de Seminarios#25
CDD Sala de Seminarios y de Videoconferencias#20
CDD Sala de seminarios y Palacio de Minería#30
CDD Sala de Videoconferencia#30
DCB J102 y Taller DIMEI#0
DCB Salón 124#50
DCB Salón 125#50
DCB Salón 130#50
DCB Salón 131#50
DCB Salón 233#50
DCB Salón 317#50
DCB salón I103#30
DCB Salón J101#50
DCB Salón J102#30
DCB Salón J105#50
DCB Salón J106#50
DCB Salón J107#20
DCB Salón J108#30
DCB Salón J111#50
DCB Salón J205A#30
DCB Salón J207#50
DCB Salón J208#35
DIE Laboratorio#0
DIMEI Laboratorio Ing. Ind.#30
En línea#30
Google meet#30
Google Meet y Classroom#50
Google meet y Google Drive#50
Laboratorio de Fotogrametría de la DICyG#30
Laboratorio iOS#20
Palacio de Minería#0
Plataforma EDUCAFIPLUS del Centro de Docencia#30
Plataforma EDUCAFIPLUS del Centro de Docencia y Zoom#30
Posgrado 403#20
Posgrado 404#20
Posgrado 405#20
Posgrado 408#20
Sala de juntas SPI y SAD#20
Sala del Consejo Técnico#30
Salón 217. Aula de Instrumentación Virtual#50
Salón A208#70
Salón de la DCB y Taller de DIMEI#0
Salón de usos múltiples R206#30
Salón I103 y taller de manufactura#30
Salón P010 FI#24
Salón por asignar#0
Salones I201, J106, J206 y J207#30
Zoom#50
Zoom y chat#30
Zoom y Educafi Plus del CDD#0
Zoom y Google Classroom#50
Zoom y Gsuite de Google#0
